
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020086                       # Number of seconds simulated (Second)
simTicks                                  20086141000                       # Number of ticks simulated (Tick)
finalTick                                 20086141000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    121.03                       # Real time elapsed on the host (Second)
hostTickRate                                165954509                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1298088                       # Number of bytes of host memory used (Byte)
simInsts                                     46247958                       # Number of instructions simulated (Count)
simOps                                       55466884                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   382106                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     458274                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        20086142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.434257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.302783                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       58260330                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     194                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      57991006                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  6576                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             2793639                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          7110647                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                108                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           19982271                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.902123                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.274456                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3618723     18.11%     18.11% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2882692     14.43%     32.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3133609     15.68%     48.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  2989461     14.96%     63.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2457464     12.30%     75.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1809229      9.05%     84.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1473222      7.37%     91.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   785588      3.93%     95.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   832283      4.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             19982271                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 102874      7.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%      7.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd            17024      1.16%      8.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%      8.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%      8.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%      8.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%      8.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc           49803      3.39%     11.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     11.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc        17009      1.16%     12.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     12.71% # attempts to use FU when none available (Count)
