
---------- Begin Simulation Statistics ----------
simSeconds                                   0.092919                       # Number of seconds simulated (Second)
simTicks                                  92918548000                       # Number of ticks simulated (Tick)
finalTick                                 92918548000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1064.90                       # Real time elapsed on the host (Second)
hostTickRate                                 87255270                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1291944                       # Number of bytes of host memory used (Byte)
simInsts                                    205067741                       # Number of instructions simulated (Count)
simOps                                      215923539                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   192569                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     202763                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        92918549                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.453111                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.206962                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      224988237                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1231                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     219084533                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  6015                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             9065928                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         28003079                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 93                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           92883357                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.358706                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.698192                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 14593785     15.71%     15.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  9255275      9.96%     25.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 32825883     35.34%     61.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 22452836     24.17%     85.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2677443      2.88%     88.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2013633      2.17%     90.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  7900207      8.51%     98.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   674555      0.73%     99.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   489740      0.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             92883357                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 186511     20.63%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     3      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     20.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     20.63% # attempts to use FU when none available (Count)
