
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020487                       # Number of seconds simulated (Second)
simTicks                                  20486891000                       # Number of ticks simulated (Tick)
finalTick                                 20486891000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     81.89                       # Real time elapsed on the host (Second)
hostTickRate                                250170881                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1290916                       # Number of bytes of host memory used (Byte)
simInsts                                     46516086                       # Number of instructions simulated (Count)
simOps                                       49127936                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   568019                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     599913                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        20486892                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.440426                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.270529                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       51077261                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     338                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      49917268                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  2213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1949662                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5870411                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 75                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           20457261                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.440076                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.778511                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3168873     15.49%     15.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2108731     10.31%     25.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  6854451     33.51%     59.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4745419     23.20%     82.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   806675      3.94%     86.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   607243      2.97%     89.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1734409      8.48%     97.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   257671      1.26%     99.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   173789      0.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             20457261                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  87457     21.67%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     3      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     21.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     21.67% # attempts to use FU when none available (Count)
