
---------- Begin Simulation Statistics ----------
simSeconds                                   0.128519                       # Number of seconds simulated (Second)
simTicks                                 128519455000                       # Number of ticks simulated (Tick)
finalTick                                128519455000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    709.10                       # Real time elapsed on the host (Second)
hostTickRate                                181242458                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1503904                       # Number of bytes of host memory used (Byte)
simInsts                                    285327477                       # Number of instructions simulated (Count)
simOps                                      315906581                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   402378                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     445502                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       128519456                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.450428                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              2.220111                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      350056906                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1565                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     341881604                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                166514                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            34151889                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         77760165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1135                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          128485053                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.660867                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.184346                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 28612888     22.27%     22.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 17538438     13.65%     35.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 19731081     15.36%     51.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18859853     14.68%     65.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 15450589     12.03%     77.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 13493153     10.50%     88.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  7629081      5.94%     94.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  4100922      3.19%     97.61% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  3069048      2.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            128485053                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1471727     20.36%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     3      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     20.36% # attempts to use FU when none available (Count)
